"gender"	"age"	"attitude"	"points"	"deep"	"surf"	"stra"
"1"	"F"	53	3.7	25	3.58	2.58	3.38
"2"	"M"	55	3.1	12	2.92	3.17	2.75
"3"	"F"	49	2.5	24	3.5	2.25	3.62
"4"	"M"	53	3.5	10	3.5	2.25	3.12
"5"	"M"	49	3.7	22	3.67	2.83	3.62
"6"	"F"	38	3.8	21	4.75	2.42	3.62
"7"	"M"	50	3.5	21	3.83	1.92	2.25
"8"	"F"	37	2.9	31	3.25	2.83	4
"9"	"M"	37	3.8	24	4.33	2.17	4.25
"10"	"F"	42	2.1	26	4	3	3.5
"11"	"M"	37	3.9	31	3.58	2.67	3.62
"12"	"F"	34	3.8	31	3.83	2.42	4.75
"13"	"F"	34	2.4	23	4.25	2.25	3.62
"14"	"F"	34	3	25	3.33	2.75	3.5
"15"	"M"	35	2.6	21	4.17	2.33	1.75
"16"	"F"	33	4.1	31	3.67	2.33	3.88
"17"	"F"	32	2.6	20	4.08	2.92	1.38
"18"	"F"	44	2.6	22	3.5	2.5	3.25
"19"	"M"	29	1.7	9	4.08	3.75	3
"20"	"F"	30	2.7	24	4	2.75	3.75
"21"	"M"	27	3.9	28	3.92	2.33	2.62
"22"	"M"	29	3.4	30	4	2.42	2.38
"23"	"F"	31	2.7	24	4	3	3.62
"24"	"F"	37	2.3	9	3.67	2.42	2.75
"25"	"F"	26	3.7	26	3.67	2.83	1.75
"26"	"F"	26	4.4	32	4.42	3.17	3.25
"27"	"M"	30	4.1	32	3.92	3	4
"28"	"F"	33	3.7	33	3.75	2	3.62
"29"	"F"	33	2.5	29	3.25	3.5	2.88
"30"	"M"	28	3	30	3.58	3.75	3
"31"	"M"	26	3.4	19	4.92	2.5	1.62
"32"	"F"	27	3.2	23	3.58	2.08	3.25
"33"	"F"	25	2	19	2.92	2.42	3.5
"34"	"F"	31	2.4	12	3.67	2.58	3
"35"	"M"	20	4.2	10	4.5	1.58	3.25
"36"	"F"	39	1.6	11	4.08	2.83	1.88
"37"	"M"	38	3.1	20	3.83	1.83	4.38
"38"	"M"	24	3.8	26	3.25	2.42	3.62
"39"	"M"	26	3.8	31	2.33	3.25	2.5
"40"	"M"	25	3.3	20	3.33	3.42	1.25
"41"	"F"	30	1.7	23	4.08	3.42	4
"42"	"F"	25	2.5	12	2.92	3.17	3
"43"	"M"	30	3.2	24	3.33	3.5	2.5
"44"	"F"	48	3.5	17	3.83	2.67	4.88
"45"	"F"	24	3.2	29	3.67	2.42	5
"46"	"F"	40	4.2	23	4.67	3.58	4.38
"47"	"M"	25	3.1	28	3.75	2.08	3.25
"48"	"F"	23	3.9	31	3.42	3.75	4
"49"	"F"	25	1.9	23	4.17	2.92	3.12
"50"	"F"	23	2.1	25	2.92	2.92	2.5
"51"	"M"	27	2.5	18	4.17	2.42	3.12
"52"	"M"	25	3.2	19	3.58	3	3.25
"53"	"M"	23	3.2	22	2.83	3.42	2.12
"54"	"F"	23	2.6	25	4	2.92	2.75
"55"	"F"	23	2.3	21	2.92	3.25	2.38
"56"	"F"	45	3.8	9	3	3.25	3.12
"57"	"F"	22	2.8	28	4.08	2.33	4
"58"	"F"	23	3.3	25	2.92	3.25	4
"59"	"M"	21	4.8	29	3.5	2.5	2.25
